research_no,id,hotel_name,prefecture,station,jalan_url,jalan_hotel_name,verification_status,live_h1,live_title,name_similarity,prefecture_on_page,audit_status,error
84,stage-028-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口・北口,https://www.jalan.net/yad316663/,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯,verified,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯の施設概要,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
85,stage-029-1,ホテルサンシティ池袋,東京都,池袋西口,https://www.jalan.net/yad363660/,ホテルサンシティ池袋,verified,ホテルサンシティ池袋の施設概要,ホテルサンシティ池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
86,stage-029-2,ホテルアーバン,東京都,池袋西口,https://www.jalan.net/yad329080/,ホテルアーバン,verified,ホテルアーバンの施設概要,ホテルアーバン - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
87,stage-029-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口・北口,https://www.jalan.net/yad316663/,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯,verified,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯の施設概要,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
88,stage-030-1,ホテルサンシティ池袋,東京都,池袋西口,https://www.jalan.net/yad363660/,ホテルサンシティ池袋,verified,ホテルサンシティ池袋の施設概要,ホテルサンシティ池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
89,stage-030-2,ホテルアーバン,東京都,池袋西口,https://www.jalan.net/yad329080/,ホテルアーバン,verified,ホテルアーバンの施設概要,ホテルアーバン - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
90,stage-030-3,スーパーホテルPremier池袋天然温泉,東京都,池袋西口・北口,https://www.jalan.net/yad316663/,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯,verified,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯の施設概要,スーパーホテルPremier池袋天然温泉 奥湯河原美肌の湯 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
91,stage-031-1,the b 三軒茶屋,東京都,三軒茶屋,https://www.jalan.net/yad323781/,the b 三軒茶屋（ザビーさんげんぢゃや）,verified,the b 三軒茶屋（ザビーさんげんぢゃや）の施設概要,the b 三軒茶屋（ザビーさんげんぢゃや） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
92,stage-031-2,東急ステイ用賀,東京都,用賀,https://www.jalan.net/yad376499/,東急ステイ用賀,verified,東急ステイ用賀の施設概要,東急ステイ用賀 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
93,stage-031-3,東急ステイ渋谷,東京都,神泉・渋谷,https://www.jalan.net/yad329696/,東急ステイ渋谷（道玄坂上）,manual_verified,東急ステイ渋谷（道玄坂上）の施設概要,東急ステイ渋谷（道玄坂上） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
94,stage-032-1,the b 三軒茶屋,東京都,三軒茶屋,https://www.jalan.net/yad323781/,the b 三軒茶屋（ザビーさんげんぢゃや）,verified,the b 三軒茶屋（ザビーさんげんぢゃや）の施設概要,the b 三軒茶屋（ザビーさんげんぢゃや） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
95,stage-032-2,東急ステイ用賀,東京都,用賀,https://www.jalan.net/yad376499/,東急ステイ用賀,verified,東急ステイ用賀の施設概要,東急ステイ用賀 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
96,stage-032-3,東急ステイ渋谷,東京都,神泉・渋谷,https://www.jalan.net/yad329696/,東急ステイ渋谷（道玄坂上）,manual_verified,東急ステイ渋谷（道玄坂上）の施設概要,東急ステイ渋谷（道玄坂上） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
97,stage-033-1,ホテルサンライト新宿,東京都,新宿三丁目,https://www.jalan.net/yad343909/,ホテルサンライト新宿,verified,ホテルサンライト新宿の施設概要,ホテルサンライト新宿 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
98,stage-033-2,新宿アーバンホテル,東京都,新宿三丁目・東新宿,https://www.jalan.net/yad321016/,新宿アーバンホテル,verified,新宿アーバンホテルの施設概要,新宿アーバンホテル - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
99,stage-033-3,ホテルアマネク新宿歌舞伎町,東京都,新宿・西武新宿,https://www.jalan.net/yad357994/,ホテルアマネク新宿歌舞伎町,verified,ホテルアマネク新宿歌舞伎町の施設概要,ホテルアマネク新宿歌舞伎町 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
100,stage-034-1,ホテルサンルートプラザ新宿,東京都,新宿南口,https://www.jalan.net/yad351204/,ホテルサンルートプラザ新宿,verified,ホテルサンルートプラザ新宿の施設概要,ホテルサンルートプラザ新宿 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
101,stage-034-2,JR九州ホテル ブラッサム新宿,東京都,新宿南口,https://www.jalan.net/yad391743/,ＪＲ九州ホテルブラッサム新宿,verified,ＪＲ九州ホテルブラッサム新宿の施設概要,ＪＲ九州ホテルブラッサム新宿 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
102,stage-034-3,京王プレッソイン新宿,東京都,新宿・都庁前,https://www.jalan.net/yad399872/,京王プレッソイン新宿,verified,京王プレッソイン新宿の施設概要,京王プレッソイン新宿 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
